feature,gain,split
vibration_level_category,1870742.669845248,2117
impact_count_in_window,470482.1579416234,4914
sound_level,201381.55173777288,4568
vibration_raw,47554.97585810551,5784
vibration_acc_mps2,326.76271769908203,1237
sound_over_impact_leq,317.8019400101664,3257
repeated_impact_flag,30.7588391336963,8
sound_over_impact_lmax,0.013969337843555673,759
sound_over_airborne_leq,0.013027126322309984,1183
hour_of_day,0.007003452777643786,168
is_daytime,1.3550672736854552e-11,4
duration_ms,0.0,0
duration_over_long_ms,0.0,0
duration_over_medium_ms,0.0,0
duration_over_short_ms,0.0,0
is_nighttime,0.0,0
vibration_dbv,0.0,0
